http://id.loc.gov/ontologies/bibframe/Person	class	http://id.loc.gov/ontologies/bibframe/Person	Person	Individual or identity established by an individual (either alone or in collaboration with one or more other individuals).	http://xmlns.com/foaf/0.1/Person
http://id.loc.gov/ontologies/bibframe/Family	class	http://id.loc.gov/ontologies/bibframe/Family	Family	Two or more persons related by birth, marriage, adoption, civil union, or similar legal status, or who otherwise present themselves as a family.	http://id.loc.gov/ontologies/bibframe/Agent
http://id.loc.gov/ontologies/bibframe/Organization	class	http://id.loc.gov/ontologies/bibframe/Organization	Organization	Corporation or group of persons and/or organizations that acts, or may act, as a unit.	http://id.loc.gov/ontologies/bibframe/Agent
http://id.loc.gov/ontologies/bibframe/Jurisdiction	class	http://id.loc.gov/ontologies/bibframe/Jurisdiction	Jurisdiction	Legal or political unit administering a geographic area.	http://id.loc.gov/ontologies/bibframe/Agent
http://id.loc.gov/ontologies/bibframe/Meeting	class	http://id.loc.gov/ontologies/bibframe/Meeting	Meeting	Gathering of individuals or representatives of various bodies for the purpose of discussing and/or acting on topics of common interest.	http://id.loc.gov/ontologies/bibframe/Agent
http://id.loc.gov/ontologies/bibframe/Topic	class	http://id.loc.gov/ontologies/bibframe/Topic	Topic	Concept or area of knowledge.	
http://id.loc.gov/ontologies/bibframe/Temporal	class	http://id.loc.gov/ontologies/bibframe/Temporal	Temporal concept	Chronological period.	
http://id.loc.gov/ontologies/bibframe/Place	class	http://id.loc.gov/ontologies/bibframe/Place	Place	Geographic location.	
http://id.loc.gov/ontologies/bibframe/Event	class	http://id.loc.gov/ontologies/bibframe/Event	Event entity	Something that happens at a certain time and location, such as a performance, speech, or athletic event, that is documented by a resource.	
http://id.loc.gov/ontologies/bibframe/Contribution	class	http://id.loc.gov/ontologies/bibframe/Contribution	Contribution	Agent and role with respect to the resource being described.	
http://id.loc.gov/ontologies/bibframe/Content	class	http://id.loc.gov/ontologies/bibframe/Content	Content type	Categorization reflecting the fundamental form of communication in which the content is expressed and the human sense through which it is intended to be perceived.	
http://id.loc.gov/ontologies/bibframe/Media	class	http://id.loc.gov/ontologies/bibframe/Media	Media type	Categorization reflecting the general type of intermediation device required to view, play, run, etc., the content of a resource.	
http://id.loc.gov/ontologies/bibframe/Carrier	class	http://id.loc.gov/ontologies/bibframe/Carrier	Carrier type	Categorization reflecting the format of the storage medium and housing of a carrier.	
